category,performer,l1,l2,linf,max_score,count,prob_num,ranking,best,l1_zscore,l2_zscore,linf_zscore,max_score_zscore,count_zscore,best_string
regression,sri,492.0,54.328311516088476,8.0,-4194537.19481685,95,76,22.0,0.0,-3.4649433729318946,-4.197300207874653,-5.479969433929701,-0.9712720593820369,3.008959745975163,
regression,tamu,1266.0,96.82115517432544,8.0,-5195431.233794937,141,340,35.0,1.0,-5.364554690689598,-7.6580040018031035,-10.783630961675314,-0.19409526586939962,3.027093002333326,*
regression,ucb,6068.0,514.9972583967816,83.0,-2009.0900495785504,123,308,28.0,1.0,8.324752058663275,8.2571256871362,9.47534206778339,1.282368842814578,2.6275223798417504,*
semisupervised_classification,cmu,16.0,8.0,4.0,2.2362299547348226,13,256,7.0,1.0,-3.472221947938382,-3.77989694161022,-4.122041700368185,1.7729081783496627,-3.8237408519013485,*
semisupervised_classification,isi,2581.0,240.4417140684839,35.0,1.9779763754663444,52,256,9.0,0.0,4.7888418484707955,5.457117524370213,4.882928289736833,-0.11135473600003043,1.8439782951342258,
semisupervised_classification,mit,91.0,39.775772125343565,21.0,0.692148427070048,11,256,16.0,0.0,-3.2476870489326854,-2.488694339483735,0.8373331939473188,-5.4602639511699085,-4.11133847952661,
semisupervised_classification,nyu,1480.0,119.88203652106503,16.0,2.1201077634116876,58,256,6.0,1.0,1.6184018839456957,0.7185249559328273,-0.6508372199891388,1.5000911875297738,2.70875348113994,*
semisupervised_classification,nyu_2,1452.0,117.82251669939961,16.0,2.127940742569631,58,256,5.0,2.0,1.6333164564604745,0.7455241073084306,-0.6433858732211742,1.5562488249129174,2.70875348113994,**
semisupervised_classification,sri,314.0,31.34131446174291,5.0,1.1846591715497823,37,170,8.0,0.0,-0.7570103884464078,-1.054573967087736,-1.8371601218303828,0.6492448180211272,1.6283066918377693,
semisupervised_classification,ucb,511.0,78.17337872827609,18.0,1.3820350450587036,21,169,7.0,0.0,-0.5636408035594899,0.40199866057022227,1.5331634317247302,0.09312567835645924,-0.9547126178239167,
time_series,cmu,4847.0,729.0123438992654,178.0,-3255.962606531665,392,1704,101.0,6.0,-10.149337428964888,-4.320638933798637,-0.6564082288779494,8.705362361830012,-2.451249868632271,******
time_series,isi,14733.0,1288.2957787813568,169.0,-3346.3617259384746,605,1704,84.0,6.0,33.394139984858086,18.754609044735215,-4.497577810453079,14.010531015855054,30.257368391165176,******
time_series,mit,4743.0,874.0943591106421,279.0,-13167.387569631725,211,1704,139.0,3.0,-15.835638264749903,4.152313681157301,26.762814573763897,-11.355077557785823,-28.972879380216398,***
time_series,nyu,3991.0,467.10618905251516,122.0,-3217.7753546464673,197,1443,100.0,5.0,-15.99799207038335,-17.523250544861874,-6.599286140761586,-14.084487919659828,-19.34040566799235,*****
time_series,nyu_2,2233.0,337.9322882247948,97.0,-3205.5053456475757,160,1402,104.0,2.0,-19.843049899302056,-20.968808432392724,-11.662926203866371,-14.932920440721025,-24.234469711088614,**
time_series,sri,2320.0,234.3814878561045,32.0,-4956.348553907981,368,1042,73.0,4.0,-5.889909170094459,-16.71330164809455,-22.744990750436283,0.7614732947955613,16.31444056328713,****
time_series,tamu,6955.0,627.0807067972465,100.0,-3183.555759224219,596,1633,73.0,13.0,16.06367096438925,2.4149451829145616,-22.563585826066603,15.33839057299175,31.219220150830363,*************
time_series,ucb,15547.0,1596.923864367339,335.0,-3352.837551200777,395,1704,115.0,5.0,20.202588327016915,36.410768965864335,43.1357226050244,5.188094918646406,0.6972949988993488,*****
time_series,uncharted,6.0,6.0,6.0,-80.37692096774117,4,43,12.0,0.0,-1.9444724427696014,-2.2066373155236274,-1.1737622183264174,-3.6313662459520093,-3.4893194762523962,
vertex_classification,cmu,228.0,89.11886741249256,40.0,3.4583299586394953,21,259,6.0,2.0,-3.6215687124502947,-2.2988851487669435,3.507438896724667,2.5731211270735823,-4.232887296954583,**
vertex_classification,isi,1196.0,187.0532769013046,32.0,2.7742536963042723,80,259,16.0,1.0,-0.14442709584589866,2.053631358443602,0.5698030516062286,-0.5417502649213239,4.0129309495886325,*
vertex_classification,mit,2055.0,209.56021471293224,44.0,3.1715461825934788,47,259,13.0,1.0,1.8775072392925822,2.088110906761318,3.794557828475154,1.2665185967080475,-0.5892962566180378,*
vertex_classification,nyu,1121.0,107.08998202242537,19.0,2.8321825265442744,51,259,16.0,1.0,-0.8221951890820259,-1.8662712694834473,-4.186132338735844,-0.41546417361293964,0.059669792178893954,*
vertex_classification,nyu_2,1295.0,113.92626325840195,19.0,2.897165715688238,59,259,14.0,1.0,0.3207371275308286,-1.359431318751637,-3.871161944561488,-0.131845239819828,1.2657151704899485,*
vertex_classification,tamu,1634.0,188.53978945632312,34.0,3.512827605774701,80,259,4.0,4.0,2.139046458054715,2.223149027478914,0.9471361366945128,2.9013384505430118,4.0129309495886325,****
vertex_classification,ucb,2473.0,253.9676203192648,48.0,3.2914215741193877,63,259,13.0,2.0,4.8129641359135125,4.940183192920625,4.543827008427418,1.7367622813922947,1.5338944447363991,**
vertex_classification,uncharted,16.0,16.0,16.0,1.7577185179237196,8,259,18.0,0.0,-4.562063963413419,-5.780486748602433,-5.305468638630647,-7.38868077736284,-6.062957753009885,
