category,performer,l1,l2,linf,max_score,count,prob_num,ranking,best,l1_zscore,l2_zscore,linf_zscore,max_score_zscore,count_zscore
link_prediction,tamu,247.0,24.35877950537049,4.0,0.5857503307158133,20.0,34.666666666666664,1.6666666666666667,0.6666666666666666,-0.07887662244191514,-0.18793607000181375,-0.5785898976481617,0.7670444771188508,0.8480395995811301
link_prediction,ucb,857.6666666666666,71.12890967310112,11.333333333333334,0.5849553265855845,19.666666666666668,34.666666666666664,1.6666666666666667,0.3333333333333333,1.9197942587229504,1.7972234155461846,1.2570408831308202,0.11563370816125658,0.7982474796072262
link_prediction,uncharted,2.0,2.0,2.0,0.9401584042241128,2.0,25.0,3.0,0.0,-1.0582929006878112,-1.3456741388833953,-1.410028251146314,0.36339168145269635,-1.5837922087815604
multiclass_classification,cmu,243.44444444444446,25.653954334526034,3.8333333333333335,0.6779916715784036,15.444444444444445,26.27777777777778,2.5555555555555554,0.3888888888888889,-0.24709635068074703,-0.3190704171918711,-0.6488193824786523,0.5431565461467635,0.16882511725816243
multiclass_classification,isi,750.3157894736842,66.5571579492327,9.421052631578947,0.6649941623485589,15.894736842105264,25.63157894736842,3.263157894736842,0.15789473684210525,1.1884274646962165,1.1267187379274137,0.7267423228752831,0.20697477014325003,0.5310965853870753
multiclass_classification,mit,189.41666666666666,31.582447406705683,9.5,0.46593675509857296,8.083333333333334,29.5,4.208333333333333,0.125,-0.13695045664133293,0.19149158932347154,0.6522113659684593,-0.3987389606867616,-0.8217388834654265
multiclass_classification,nyu,306.2173913043478,29.213408604569597,5.521739130434782,0.5520668423832976,12.695652173913043,30.782608695652176,3.869565217391304,0.21739130434782608,-0.0026681336742436345,-0.08383104921468239,-0.23553463720765372,-0.20561150463374667,0.10273144543487778
multiclass_classification,nyu_2,270.5652173913044,26.692564135039156,5.130434782608695,0.598376984501771,11.478260869565217,30.782608695652176,3.347826086956522,0.2608695652173913,-0.1841628504490006,-0.297218850418214,-0.33087134252237344,0.26001067124343114,-0.11292661327987741
multiclass_classification,sri,134.9,13.45906345490604,1.9,0.43590901797147275,18.8,27.1,3.5,0.3,-0.4164839427334631,-0.7656891726321201,-0.9751520016280544,-0.06604798005355779,0.7041747243409621
multiclass_classification,tamu,120.14285714285714,9.598474220509498,1.0,0.6099710972795452,14.095238095238095,23.952380952380953,4.190476190476191,0.09523809523809523,-0.7349426795198588,-0.975545789473682,-1.2898433424741773,-0.24966512700356733,0.18725784283381047
multiclass_classification,ucb,545.304347826087,59.778025250856764,13.304347826086957,0.5167652613228185,12.08695652173913,30.347826086956523,3.0869565217391304,0.17391304347826086,0.5186272862949342,0.8852111865978542,1.4448728035431802,0.04139359054931511,-0.018608122059708743
multiclass_classification,uncharted,5.0,5.0,5.0,0.6163049047327193,2.0,65.0,4.333333333333333,0.0,-0.9594186034266251,-1.2375143166186706,-0.3829782575739726,-0.08062312272301027,-1.2398801016474872
multivariate_regression,cmu,14.5,4.179215041437506,1.5,-27.50051078648665,5.5,96.5,3.0,0.0,-0.8093418213363655,-0.9689437719074452,-1.3032069291850408,-0.670120539115358,-1.0459753578036524
multivariate_regression,isi,24.0,11.045361017187261,6.0,-0.8885752079540816,4.0,93.0,2.0,0.0,-0.613633661602689,-0.6000143809222231,-0.19069251784911856,-0.7071067811865475,-0.8583950752789521
multivariate_regression,mit,796.5,80.32315715539856,11.0,-14.834348753242898,20.0,96.5,1.0,1.0,1.8759948904192714,1.8381186679322892,1.3209913733201204,1.4976761595344308,1.644104659179375
multivariate_regression,nyu,264.5,29.48290849898267,5.5,-27.496105971277128,13.5,96.5,2.5,0.0,-0.026831334281375296,-0.023207114766033085,-0.200460745132453,-0.6697355186221352,0.44520810572320224
multivariate_regression,nyu_2,112.0,21.023136857515652,6.0,-27.496105971277128,8.5,96.5,2.5,0.0,-0.46075509461840114,-0.347153777715194,-0.05744135674561413,-0.6697355186221352,-0.49087511080669355
multivariate_regression,sri,99.0,14.52583904633395,3.0,-54.100046625079905,11.0,100.0,2.0,0.0,-0.715851998012341,-0.6995667868156794,-0.7201931413999582,-0.6320504481741982,-0.48141422564394637
multivariate_regression,tamu,66.0,8.12403840463596,1.0,-54.10363673460017,12.0,100.0,3.0,0.0,-0.8115474908021852,-0.9433702607973654,-1.2508617719051904,-0.6323642560577228,-0.2941975823379672
multivariate_regression,ucb,451.0,46.55407531141287,11.0,-14.834348753242898,12.5,96.5,1.0,1.0,0.4914499350254785,0.6226617107240173,1.3209913733201204,1.4976761595344308,0.2645411453382018
regression,cmu,122.125,17.700221083209875,3.75,-488473.7583594541,10.875,42.5,2.875,0.375,-0.8260365300309331,-0.7443839349047732,-0.6020332781069012,0.3509864571590919,-0.9566887038063467
regression,isi,635.875,58.73529095130697,8.25,-474416.7861386904,19.0,42.5,3.25,0.25,0.7871795748126065,0.8381511036187028,0.611920330672874,0.47164688600441673,0.6470317584353112
regression,mit,178.125,29.558766074469258,8.375,-1152916.5829815401,8.375,42.5,4.875,0.125,-0.6646734248942752,-0.2660783424108945,0.5016269149715876,-0.5797944033619212,-1.2826846015549855
regression,nyu,533.1428571428571,45.79026644870298,7.571428571428571,-287.1649322797288,17.571428571428573,44.0,3.857142857142857,0.0,0.42242125819901727,0.33719764580240214,0.306234544242389,-0.17062883057818226,0.26112512835179613
regression,nyu_2,518.2857142857143,44.97762819866273,6.714285714285714,-286.8818187227915,17.857142857142858,44.0,3.5714285714285716,0.0,0.4537200340665589,0.37375491307149505,0.07892925397491712,-0.12361588884694072,0.3210401926850505
regression,sri,98.4,10.865662303217695,1.6,-838907.43896337,19.0,15.2,4.4,0.0,-0.6929886745863789,-0.8394600415749306,-1.0959938867859402,-0.19425441187640738,0.6017919491950325
regression,tamu,158.25,12.10264439679068,1.0,-649428.9042243671,17.625,42.5,4.375,0.125,-0.6705693363361998,-0.9572505002253879,-1.3479538702094143,-0.024261908233674953,0.3783866252916657
regression,ucb,866.8571428571429,73.57103691382595,11.857142857142858,-287.0128642255072,17.571428571428573,44.0,4.0,0.14285714285714285,1.1892502940947536,1.1795893838766,1.3536202953976273,0.18319554897351115,0.37536033997739293
